RowID,stratum,lcode,sdate,utm_e,utm_n,snag
248986,BWC-S,F10A.RS,9/9/2009,717275,4677435,1
248987,SCB,D10.RS,8/6/2010,538095,4935295,1
249019,BWC-S,D17.RS,8/19/1999,541895,4936045,0
249058,BWC-S,D11.RS,8/26/1994,733825,4667785,0
249103,SCB,D11.RS,8/16/2011,582795,4913795,1
249129,SCB,D8.RS,6/21/2012,639570,4850000,1
249153,BWC-S,D15.RS,9/20/2016,641320,4843500,1
249195,BWC-S,D15.RS,6/21/2012,641070,4845500,0
249226,SCB,C16A.RS,8/9/2010,641220,4841950,1
249271,SCB,D9.RS,7/9/2002,537645,4936845,1
249307,MCB-U,D1.RS,7/30/1997,536645,4934945,0
249309,BWC-S,D9.RS,8/8/2005,640220,4840150,0
249341,BWC-S,D18.RS,9/4/1996,585245,4910645,1
249381,BWC-S,D23.RS,10/4/2011,580545,4911095,0
249382,MCB-U,D3.RS,10/22/2002,572645,4917695,1
